Prefix, Date, Type, Value, Status 
rasp1, Mon Oct 20 20:31:40 2014, humidity, 59.00, 0 
rasp1, Mon Oct 20 20:31:40 2014, temperature, 36.20, 0 
rasp1, Mon Oct 20 20:32:40 2014, humidity, 58.80, 0 
rasp1, Mon Oct 20 20:32:40 2014, temperature, 36.20, 0 
rasp1, Mon Oct 20 20:33:40 2014, humidity, 55.50, 0 
rasp1, Mon Oct 20 20:33:40 2014, temperature, 36.20, 0 
rasp1, Mon Oct 20 20:34:40 2014, humidity, 56.60, 0 
rasp1, Mon Oct 20 20:34:40 2014, temperature, 36.20, 0 
rasp1, Mon Oct 20 20:35:40 2014, humidity, 55.50, 0 
rasp1, Mon Oct 20 20:35:40 2014, temperature, 36.20, 0 
rasp1, Mon Oct 20 20:36:40 2014, humidity, 55.70, 0 
rasp1, Mon Oct 20 20:36:40 2014, temperature, 36.10, 0 
rasp1, Mon Oct 20 20:37:40 2014, humidity, 57.50, 0 
rasp1, Mon Oct 20 20:37:40 2014, temperature, 36.10, 0 
rasp1, Mon Oct 20 20:38:40 2014, humidity, 58.80, 0 
rasp1, Mon Oct 20 20:38:40 2014, temperature, 36.10, 0 
rasp1, Mon Oct 20 20:39:40 2014, humidity, 55.90, 0 
rasp1, Mon Oct 20 20:39:40 2014, temperature, 36.00, 0 
rasp1, Mon Oct 20 20:40:40 2014, humidity, 59.90, 0 
rasp1, Mon Oct 20 20:40:40 2014, temperature, 36.10, 0 
rasp1, Mon Oct 20 20:41:40 2014, humidity, 59.70, 0 
rasp1, Mon Oct 20 20:41:40 2014, temperature, 36.00, 0 
rasp1, Mon Oct 20 20:42:40 2014, humidity, 58.00, 0 
rasp1, Mon Oct 20 20:42:40 2014, temperature, 36.00, 0 
rasp1, Mon Oct 20 20:43:40 2014, humidity, 61.10, 0 
rasp1, Mon Oct 20 20:43:40 2014, temperature, 36.00, 0 
rasp1, Mon Oct 20 20:44:40 2014, humidity, 58.00, 0 
rasp1, Mon Oct 20 20:44:40 2014, temperature, 36.00, 0 
rasp1, Mon Oct 20 20:45:40 2014, humidity, 57.10, 0 
rasp1, Mon Oct 20 20:45:40 2014, temperature, 35.90, 0 
rasp1, Mon Oct 20 20:46:40 2014, humidity, 58.60, 0 
rasp1, Mon Oct 20 20:46:40 2014, temperature, 35.90, 0 
rasp1, Mon Oct 20 20:47:40 2014, humidity, 59.90, 0 
rasp1, Mon Oct 20 20:47:40 2014, temperature, 35.90, 0 
rasp1, Mon Oct 20 20:48:40 2014, humidity, 59.60, 0 
rasp1, Mon Oct 20 20:48:40 2014, temperature, 35.90, 0 
rasp1, Mon Oct 20 20:49:40 2014, humidity, 61.90, 0 
rasp1, Mon Oct 20 20:49:40 2014, temperature, 35.90, 0 
rasp1, Mon Oct 20 20:50:40 2014, humidity, 62.30, 0 
rasp1, Mon Oct 20 20:50:40 2014, temperature, 35.90, 0 
rasp1, Mon Oct 20 20:51:40 2014, humidity, 61.00, 0 
rasp1, Mon Oct 20 20:51:40 2014, temperature, 35.90, 0 
rasp1, Mon Oct 20 20:52:40 2014, humidity, 59.10, 0 
rasp1, Mon Oct 20 20:52:40 2014, temperature, 35.90, 0 
rasp1, Mon Oct 20 20:53:40 2014, humidity, 57.60, 0 
rasp1, Mon Oct 20 20:53:40 2014, temperature, 35.80, 0 
rasp1, Mon Oct 20 20:54:40 2014, humidity, 59.00, 0 
rasp1, Mon Oct 20 20:54:40 2014, temperature, 35.80, 0 
rasp1, Mon Oct 20 20:55:40 2014, humidity, 59.80, 0 
rasp1, Mon Oct 20 20:55:40 2014, temperature, 35.80, 0 
rasp1, Mon Oct 20 20:56:40 2014, humidity, 57.60, 0 
rasp1, Mon Oct 20 20:56:40 2014, temperature, 35.70, 0 
rasp1, Mon Oct 20 20:57:40 2014, humidity, 53.90, 0 
rasp1, Mon Oct 20 20:57:40 2014, temperature, 35.70, 0 
rasp1, Mon Oct 20 20:58:40 2014, humidity, 53.10, 0 
rasp1, Mon Oct 20 20:58:40 2014, temperature, 35.70, 0 
rasp1, Mon Oct 20 20:59:40 2014, humidity, 60.40, 0 
