Prefix	Date	Type	Value	Status	nodeIP
rasp1	Tue Aug 26 12:38:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:39:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:40:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:41:17 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:42:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:43:17 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:44:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:45:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:46:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:47:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:48:18 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:49:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:50:18 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:51:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:52:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:53:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:54:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:55:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:56:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:57:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:58:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:59:18 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:00:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:01:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:02:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:03:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:04:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:05:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:06:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:07:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:08:18 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:09:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:10:18 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:11:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:12:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:13:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:14:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:15:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:16:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:17:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:18:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:19:18 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:20:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:21:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:22:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:23:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:24:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:25:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:26:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:27:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:28:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:29:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:30:18 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:31:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:32:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:33:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:34:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:35:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:36:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:37:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:38:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:39:18 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:40:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:41:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:42:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:43:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:44:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:45:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:46:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:47:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:48:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:49:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:50:18 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:51:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:52:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:53:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:54:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:55:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:56:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:57:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:58:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 13:59:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:00:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:01:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:02:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:03:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:04:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:05:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:06:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:07:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:08:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:09:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:10:18 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:11:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:12:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:13:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:14:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:15:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:16:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:17:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:18:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:19:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:20:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:21:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:22:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:23:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:24:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:25:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:26:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:27:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:28:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
